BR_ID,Business_Requirement,FR_ID,Functional_Requirement,US_ID,User_Story,TestCase_ID,Test_Case_Description,Status
BR-01,Voice AI hoi thoai thoi gian thuc do tre thap va ngat loi tu nhien,FR-CORE-01,Voice Pipeline Streaming WebSocket giua SIP/VAD/STT/LLM/TTS,US-VOICE-01,Phan hoi giong noi do tre thap <=1.2s,TC-VOICE-001,Kiem thu First Audio Byte Latency khi ket thuc phat bieu,Ready
BR-01,Voice AI hoi thoai thoi gian thuc do tre thap va ngat loi tu nhien,FR-CORE-02,Xu ly ngat loi Barge-in dung phat TTS ngay lap tuc <=100ms,US-VOICE-02,Xu ly ngat loi Barge-in khi khach hang noi xen ngang,TC-VOICE-002,Kiem thu dung phat audio buffer va tiep nhan STT moi khi nguoi dung noi chen,Ready
BR-02,Giai quyet khan cap bao mat the va khoa the tuc thi <=15s,FR-CSKH-01,Xac thuc danh tinh Fast-track 4 so cuoi CCCD,US-CSKH-01,Bao mat va khoa the tin dung khan cap,TC-CSKH-001,Kiem thu xac thuc fast-track va goi API khoa the thanh cong,Ready
BR-02,Giai quyet khan cap bao mat the va khoa the tuc thi <=15s,FR-CSKH-02,Goi API Core Banking khoa the va gui SMS xac nhan,US-CSKH-01,Bao mat va khoa the tin dung khan cap,TC-CSKH-002,Kiem thu xu ly fallback chuyen agent khi Core Banking gap loi timeout,Ready
BR-03,Tu dong hoa tra cuu thong tin tai khoan va sao ke giao dich,FR-CSKH-03,Tra cuu so du kha dung va doc tien te chuan tieng Viet,US-CSKH-02,Tra cuu so du va sao ke giao dich gan nhat,TC-CSKH-003,Kiem thu doc chuan so tien VND va khong doc roi rac tung ky tu,Ready
BR-03,Tu dong hoa tra cuu thong tin tai khoan va sao ke giao dich,FR-CSKH-04,Truy xuat lich su 3-5 giao dich gan nhat va gui email sao ke,US-CSKH-02,Tra cuu so du va sao ke giao dich gan nhat,TC-CSKH-004,Kiem thu truy xuat lich su bien dong so du va kich hoat gui email sao ke,Ready
BR-04,Tu dong hoa cuoc goi nhac no Outbound va chot cam ket thanh toan PTP,FR-DEBT-01,Kiem soat khung gio goi phap ly 08h-21h tu danh sach CRM,US-DEBT-01,Dinh danh nguoi vay va chot ngay hen thanh toan PTP,TC-DEBT-001,Kiem thu chan cuoc goi ngoai khung gio quy dinh,Ready
BR-04,Tu dong hoa cuoc goi nhac no Outbound va chot cam ket thanh toan PTP,FR-DEBT-02,Xac thuc dung chu the no truoc khi cong bo du no,US-DEBT-01,Dinh danh nguoi vay va chot ngay hen thanh toan PTP,TC-DEBT-002,Kiem thu khong tiet lo thong tin no khi nguoi nghe khong phai chinh chu,Ready
BR-04,Tu dong hoa cuoc goi nhac no Outbound va chot cam ket thanh toan PTP,FR-DEBT-03,Boc tach ngay hen PTP so tien va phuong thuc thanh toan,US-DEBT-01,Dinh danh nguoi vay va chot ngay hen thanh toan PTP,TC-DEBT-003,Kiem thu NER boc tach chinh xac ngay hen va cap nhat CRM Disposition PTP,Ready
BR-04,Tu dong hoa cuoc goi nhac no Outbound va chot cam ket thanh toan PTP,FR-DEBT-04,Tu dong kich hoat gui SMS Brandname/Zalo ZNS chua ma thanh toan,US-DEBT-01,Dinh danh nguoi vay va chot ngay hen thanh toan PTP,TC-DEBT-004,Kiem thu ban tin nhan SMS/ZNS tuc thi sau khi ket thuc cuoc goi PTP,Ready
BR-05,Dam bao an toan thong tin PCI-DSS va chong tan cong Prompt Injection,FR-CORE-03,Data Masking che so the 16 chu so, CCCD, OTP, CVV tren Logs va DB,US-SEC-01,Che giau du lieu nhay cam Data Masking PCI-DSS,TC-SEC-001,Kiem thu log masking chuoi the va OTP khong luu plain text,Ready
BR-05,Dam bao an toan thong tin PCI-DSS va chong tan cong Prompt Injection,FR-CORE-04,LLM Guardrails chan Prompt Injection va System Override,US-SEC-01,Che giau du lieu nhay cam Data Masking PCI-DSS,TC-SEC-002,Kiem thu 50 test case Jailbreak bao ve quy tac nghiep vu ngan hang,Ready
